index,Appliances
1,60
2,60
3,50
4,50
5,60
6,50
7,60
8,60
9,60
10,70
11,230
12,580
13,430
14,250
15,100
16,100
17,90
18,70
19,80
20,140
21,120
22,190
23,110
24,110
25,110
26,110
27,100
28,100
29,100
30,100
31,110
32,400
33,400
34,390
35,240
36,60
37,60
38,60
39,50
40,70
41,60
42,40
43,40
44,30
45,40
46,50
47,310
48,380
49,380
50,370
51,120
52,50
53,40
54,50
55,40
56,50
57,50
58,50
59,40
60,40
61,30
62,20
63,20
64,40
65,50
66,50
67,40
68,50
69,40
70,40
71,40
72,60
73,50
74,50
75,40
76,40
77,40
78,40
79,50
80,70
81,40
82,30
83,20
84,30
85,40
86,50
87,60
88,60
89,70
90,60
91,140
92,110
93,90
94,60
95,60
96,60
97,50
98,60
99,50
100,30
101,40
102,30
103,260
104,500
105,450
106,50
107,60
108,60
109,50
110,50
111,50
112,60
113,60
114,60
115,60
116,190
117,220
118,170
119,390
120,90
121,60
122,290
123,130
124,140
125,240
126,50
127,60
128,60
129,60
130,370
131,200
132,70
133,50
134,40
135,40
136,30
137,30
138,30
139,30
140,40
141,50
142,40
143,40
144,40
145,60
146,60
147,210
148,380
149,370
150,230
151,80
152,90
153,70
154,40
155,40
156,30
157,50
158,50
159,60
160,50
161,60
162,60
163,60
164,50
165,50
166,50
167,50
168,50
169,60
170,60
171,40
172,30
173,30
174,30
175,40
176,50
177,50
178,50
179,40
180,50
181,40
182,40
183,40
184,40
185,50
186,50
187,50
188,30
189,20
190,30
191,20
192,40
193,50
194,60
195,50
196,40
197,40
198,50
199,40
200,40
201,50
202,50
203,50
204,40
205,30
206,20
207,20
208,20
209,50
210,50
211,50
212,40
213,40
214,50
215,40
216,50
217,50
218,50
219,40
220,40
221,50
222,20
223,20
224,50
225,30
226,50
227,50
228,200
229,110
230,80
231,50
232,50
233,50
234,40
235,40
236,30
237,180
238,350
239,350
240,300
241,400
242,390
243,290
244,60
245,70
246,110
247,90
248,60
249,70
250,80
251,60
252,40
253,30
254,70
255,50
256,80
257,80
258,50
259,40
260,50
261,40
262,40
263,50
264,30
265,30
266,20
267,20
268,50
269,40
270,50
271,40
272,60
273,40
274,40
275,50
276,40
277,40
278,30
279,30
280,30
281,40
282,80
283,70
284,80
285,70
286,80
287,80
288,100
289,90
290,100
291,90
292,110
293,90
294,100
295,100
296,110
297,100
298,90
299,90
300,180
301,140
302,100
303,110
304,340
305,380
306,210
307,150
308,330
309,420
310,330
311,130
312,130
313,110
314,250
315,520
316,360
317,330
318,310
319,270
320,230
321,170
322,60
323,30
324,30
325,30
326,40
327,50
328,50
329,40
330,40
331,50
332,50
333,40
334,60
335,40
336,40
337,50
338,40
339,30
340,30
341,30
342,40
343,40
344,50
345,40
346,40
347,40
348,50
349,50
350,50
351,40
352,50
353,40
354,40
355,20
356,30
357,30
358,40
359,50
360,40
361,40
362,50
363,40
364,50
365,50
366,40
367,50
368,40
369,40
370,40
371,40
372,30
373,70
374,360
