Link,Description,Time,Valid
https://subscribe.billboard.com/sub/?p=BBL&f=sale&s=IB1404NS08,"
Subscribe now
",18-01-26-12-43,valid
https://www.facebook.com/Billboard/,"

",18-01-26-12-43,valid
https://twitter.com/billboard,"

",18-01-26-12-43,valid
http://www.pretareporter.com,"
Pret-a-Reporter
",18-01-26-12-43,valid
https://subscribe.billboard.com/sub/?p=BBL&f=sale&s=IB1404NS08,"
Subscribe
",18-01-26-12-43,valid
https://subscribe.billboard.com/sub/?p=BBL&f=sale&s=IB1404NS08,"

",18-01-26-12-43,valid
https://subscribe.billboard.com/sub/?p=BBL&f=landing,Customer Service,18-01-26-12-43,valid
https://subscribe.billboard.com/sub/?p=BBL&f=sale&s=IB1404NS03,Subscribe,18-01-26-12-43,valid
http://shop.billboard.com/,Buy this issue,18-01-26-12-43,valid
http://www.facebook.com/Billboard,Facebook,18-01-26-12-43,valid
https://twitter.com/billboard,Twitter,18-01-26-12-43,valid
https://plus.google.com/+Billboard/posts,Google+,18-01-26-12-43,valid
http://youtube.com/billboard,YouTube,18-01-26-12-43,valid
http://instagram.com/billboard,Instagram,18-01-26-12-43,valid
http://billboard.tumblr.com/,Tumblr,18-01-26-12-43,valid
http://pinterest.com/billboard,Pinterest,18-01-26-12-43,valid
http://open.spotify.com/app/billboard,Spotify,18-01-26-12-43,valid
http://store.billboard.com/,Shop,18-01-26-12-43,valid
http://prometheusglobalmedia.applytojob.com/,Jobs,18-01-26-12-43,valid
http://billboardlicensing.licensestream.com,Chart Licensing,18-01-26-12-43,valid
https://docs.google.com/spreadsheet/viewform?formkey=dDZ1RmJPWndBRmc0cThUOEMwMXhLMXc6MQ#gid=0,Feedback,18-01-26-12-43,valid
http://www.metrolyrics.com/,Lyrics,18-01-26-12-43,valid
http://www.hollywoodreporter.com/,,18-01-26-12-43,valid
http://www.spin.com/,,18-01-26-12-43,valid
http://www.vibe.com/,,18-01-26-12-43,valid
http://www.stereogum.com/,,18-01-26-12-43,valid
http://www.deathandtaxesmag.com/,,18-01-26-12-43,valid
