,count,mean,std,min,25%,50%,75%,max,year
score,50000.0,729.955,265.43032434169845,300.0,681.0,728.0,772.0,9999.0,2006
pay1_date,50000.0,200623.85894,36.565234067392446,200601.0,200606.0,200609.0,200612.0,201302.0,2006
maturity_date,50000.0,203421.2723,491.9197343604903,201106.0,203603.0,203607.0,203610.0,205704.0,2006
MSA,41791.0,29990.75279366371,11360.100974661973,10180.0,19124.0,31140.0,39340.0,49740.0,2006
MI%,50000.0,3.47626,9.084820696735456,0.0,0.0,0.0,0.0,40.0,2006
unit,50000.0,1.02774,0.21055018173238435,1.0,1.0,1.0,1.0,4.0,2006
CLTV,50000.0,73.13102,19.06012905334109,6.0,63.0,79.0,86.0,999.0,2006
DTI_rat,50000.0,57.58518,141.059380756276,1.0,28.0,37.0,46.0,999.0,2006
UPB,50000.0,179592.58,93860.06809712083,10000.0,107000.0,160000.0,235000.0,802000.0,2006
LTV,50000.0,70.71394,17.80273598143206,6.0,62.0,78.0,80.0,999.0,2006
interest_rate,50000.0,6.406875959999999,0.38915959199001204,3.5,6.125,6.375,6.625,9.25,2006
post_code,50000.0,50751.91,28517.576541417973,600.0,28700.0,48300.0,77000.0,99900.0,2006
term,50000.0,336.65032,58.85244630518022,60.0,360.0,360.0,360.0,604.0,2006
borrowers,50000.0,1.58692,1.8640156664274803,1.0,1.0,2.0,2.0,99.0,2006
score,50000.0,728.46154,230.7912739534814,333.0,680.0,729.0,773.0,9999.0,2007
pay1_date,50000.0,200723.76958,36.230031450818565,200701.0,200706.0,200709.0,200712.0,201212.0,2007
maturity_date,50000.0,203553.12056,461.3038126543351,201208.0,203703.0,203707.0,203710.0,205403.0,2007
MSA,41329.0,29941.079000217764,11377.47051626175,10180.0,19124.0,31084.0,39540.0,49740.0,2007
MI%,50000.0,5.19054,10.774723959427083,0.0,0.0,0.0,0.0,40.0,2007
unit,50000.0,1.03666,0.24510660118600702,1.0,1.0,1.0,1.0,4.0,2007
CLTV,50000.0,74.5389,19.65788328985383,6.0,65.0,80.0,90.0,999.0,2007
DTI_rat,50000.0,61.62562,152.91925328608855,1.0,28.0,37.0,46.0,999.0,2007
UPB,50000.0,183764.16,98614.3725598823,10000.0,108000.0,161000.0,243000.0,802000.0,2007
LTV,50000.0,72.1036,18.690836631554784,6.0,64.0,78.0,80.0,999.0,2007
interest_rate,50000.0,6.376951779999986,0.43187784984224015,3.375,6.125,6.375,6.625,9.125,2007
post_code,50000.0,51161.436,28681.673584120672,600.0,28700.0,48300.0,77400.0,99900.0,2007
term,50000.0,340.40506,55.284197319354796,60.0,360.0,360.0,360.0,556.0,2007
borrowers,50000.0,1.5759,2.148741848578527,1.0,1.0,2.0,2.0,99.0,2007
score,50000.0,746.36954,228.72016963641056,480.0,706.0,751.0,783.0,9999.0,2008
pay1_date,50000.0,200823.24872,35.74131904671972,200501.0,200806.0,200809.0,200812.0,201508.0,2008
maturity_date,50000.0,203606.00856,514.7404990111124,201802.0,203803.0,203807.0,203810.0,204812.0,2008
MSA,42271.0,30330.56771782073,11281.389617616522,10180.0,19124.0,31700.0,40060.0,49740.0,2008
MI%,50000.0,4.2681,9.528619956840442,0.0,0.0,0.0,0.0,37.0,2008
unit,50000.0,1.03666,0.25027444365334844,1.0,1.0,1.0,1.0,4.0,2008
CLTV,50000.0,71.50462,17.27531149888129,6.0,62.0,77.0,80.0,111.0,2008
DTI_rat,50000.0,57.18436,140.95986962638142,1.0,27.0,37.0,46.0,999.0,2008
UPB,50000.0,203981.86,108770.35161627489,11000.0,119000.0,182000.0,275000.0,802000.0,2008
LTV,50000.0,70.28216,17.3023366384865,6.0,60.0,75.0,80.0,100.0,2008
interest_rate,50000.0,6.05702044,0.5560140158790121,2.625,5.75,6.0,6.375,8.75,2008
post_code,50000.0,53260.454,29824.503307410094,600.0,28700.0,53500.0,80500.0,99900.0,2008
term,50000.0,334.61776,61.48912546813051,120.0,360.0,360.0,360.0,480.0,2008
borrowers,50000.0,1.56502,1.964212198870155,1.0,1.0,2.0,2.0,99.0,2008
score,50000.0,762.33614,57.298260808809935,461.0,739.0,772.0,793.0,9999.0,2009
pay1_date,50000.0,200923.2005,35.20174602215879,200902.0,200906.0,200908.0,200912.0,201111.0,2009
maturity_date,50000.0,203574.58224,620.1559596623973,201706.0,203902.0,203905.0,203909.0,204102.0,2009
MSA,42472.0,30168.480316443776,11345.10911219118,10180.0,19124.0,31540.0,40060.0,49740.0,2009
MI%,50000.0,1.55242,5.907689070980509,0.0,0.0,0.0,0.0,35.0,2009
unit,50000.0,1.016,0.1688329650613826,1.0,1.0,1.0,1.0,4.0,2009
CLTV,50000.0,66.85308,16.965992202386854,6.0,56.0,71.0,80.0,103.0,2009
DTI_rat,50000.0,34.21672,49.28039289194548,1.0,23.0,31.0,40.0,999.0,2009
UPB,50000.0,213719.74,118219.10991666897,14000.0,123000.0,188000.0,284000.0,800000.0,2009
LTV,50000.0,65.44966,16.98509687210472,6.0,54.0,70.0,80.0,98.0,2009
interest_rate,50000.0,4.9585833199999785,0.38439617691400296,3.63,4.75,4.875,5.25,7.625,2009
post_code,50000.0,52087.884,30210.050495577932,600.0,27500.0,53000.0,80200.0,99900.0,2009
term,50000.0,319.15678,74.43674426389613,96.0,360.0,360.0,360.0,360.0,2009
borrowers,50000.0,1.62456,1.1727029935349988,1.0,1.0,2.0,2.0,99.0,2009
score,50000.0,763.08582,40.402733354870826,508.0,739.0,774.0,794.0,837.0,2010
pay1_date,50000.0,201023.03418,35.03535302015404,201002.0,201006.0,201009.0,201012.0,201408.0,2010
maturity_date,50000.0,203497.29026,706.9743219545171,201507.0,202512.0,204004.0,204008.0,204112.0,2010
MSA,42978.0,30161.8600214063,11341.785648354951,10180.0,19124.0,31540.0,40140.0,49740.0,2010
MI%,50000.0,1.77642,6.534110947609465,0.0,0.0,0.0,0.0,40.0,2010
unit,50000.0,1.0219,0.19925155965173702,1.0,1.0,1.0,1.0,4.0,2010
CLTV,50000.0,67.5301,17.454277041049895,8.0,57.0,73.0,80.0,999.0,2010
DTI_rat,50000.0,32.01908,21.580435358387504,1.0,24.0,32.0,40.0,999.0,2010
UPB,50000.0,208388.82,119998.88563509892,11000.0,119000.0,179000.0,275000.0,1129000.0,2010
LTV,50000.0,66.3771,17.50964041150389,7.0,56.0,71.0,80.0,999.0,2010
interest_rate,50000.0,4.6372327000000135,0.4870780142138725,2.625,4.25,4.625,5.0,6.75,2010
post_code,50000.0,52426.394,30091.45104286923,600.0,27600.0,53000.0,80100.0,99900.0,2010
term,50000.0,297.8844,84.94936400308994,60.0,180.0,360.0,360.0,360.0,2010
borrowers,50000.0,1.6147,0.4866709843138109,1.0,1.0,2.0,2.0,2.0,2010
score,50000.0,764.00036,57.45281278044017,585.0,741.0,775.0,795.0,9999.0,2011
pay1_date,50000.0,201123.52758,35.4549756797189,201101.0,201106.0,201109.0,201112.0,201307.0,2011
maturity_date,50000.0,203531.231,736.2845931425016,201804.0,202611.0,204103.0,204108.0,204303.0,2011
MSA,43056.0,30514.702759197324,11263.320585638749,10180.0,19124.0,33124.0,40220.0,49740.0,2011
MI%,50000.0,2.44276,7.6458650764590415,0.0,0.0,0.0,0.0,35.0,2011
unit,50000.0,1.02726,0.2212642572976846,1.0,1.0,1.0,1.0,4.0,2011
