attribute,year,count,mean,std,min,25%,50%,75%,max
CLTV,2006,50000.0,73.13101999999999,19.06012905334109,6.0,63.0,79.0,86.0,999.0
CLTV,2007,50000.0,74.5389,19.657883289853828,6.0,65.0,80.0,90.0,999.0
CLTV,2008,50000.0,71.50461999999999,17.27531149888129,6.0,62.0,77.0,80.0,111.0
CLTV,2009,50000.0,66.85308,16.965992202386857,6.0,56.0,71.0,80.0,103.0
CLTV,2010,50000.0,67.5301,17.454277041049895,8.0,57.0,73.0,80.0,999.0
CLTV,2011,50000.0,68.47794,17.022826700901337,6.0,58.0,74.0,80.0,95.0
CLTV,2012,50000.0,69.0129,17.99051324341266,6.0,59.0,74.0,80.0,999.0
CLTV,2013,50000.0,72.0364,17.905872987531268,7.0,63.0,76.0,80.0,999.0
CLTV,2014,50000.0,75.58336,16.67866945144966,7.0,69.0,80.0,88.0,999.0
CLTV,2015,50000.0,74.30738000000001,17.39094323013467,6.0,67.0,79.0,85.0,999.0
CLTV,2016,50000.0,73.50926,17.615595375587066,7.0,65.0,78.0,84.0,999.0
CLTV,2017,37500.0,74.67146666666666,18.99562988569645,6.0,67.0,80.0,85.0,999.0
DTI_rat,2006,50000.0,57.58518,141.059380756276,1.0,28.0,37.0,46.0,999.0
DTI_rat,2007,50000.0,61.625620000000005,152.91925328608855,1.0,28.0,37.0,46.0,999.0
DTI_rat,2008,50000.0,57.18435999999999,140.9598696263814,1.0,27.0,37.0,46.0,999.0
DTI_rat,2009,50000.0,34.21672,49.280392891945475,1.0,23.0,31.0,40.0,999.0
DTI_rat,2010,50000.0,32.019079999999995,21.580435358387504,1.0,24.0,32.0,40.0,999.0
DTI_rat,2011,50000.0,31.89366,15.272443706071545,1.0,24.0,32.0,40.0,999.0
DTI_rat,2012,50000.0,30.95048,14.614635798445509,1.0,23.0,31.0,39.0,999.0
DTI_rat,2013,50000.0,32.34962,11.462019604477119,1.0,25.0,33.0,40.0,999.0
DTI_rat,2014,50000.0,33.76806,11.030703393924837,1.0,27.0,35.0,41.0,999.0
DTI_rat,2015,50000.0,33.86712,11.203246545544589,1.0,27.0,35.0,42.0,999.0
DTI_rat,2016,50000.0,34.17152,10.31056094705531,1.0,27.0,35.0,42.0,999.0
DTI_rat,2017,37500.0,34.99125333333333,12.732056378923357,1.0,28.0,36.0,43.0,999.0
LTV,2006,50000.0,70.71394000000001,17.802735981432058,6.0,62.0,78.0,80.0,999.0
LTV,2007,50000.0,72.1036,18.690836631554784,6.0,64.0,78.0,80.0,999.0
LTV,2008,50000.0,70.28216,17.3023366384865,6.0,60.0,75.0,80.0,100.0
LTV,2009,50000.0,65.44966,16.98509687210472,6.0,54.0,70.0,80.0,98.0
LTV,2010,50000.0,66.3771,17.509640411503888,7.0,56.0,71.0,80.0,999.0
LTV,2011,50000.0,67.42052,17.157476810700647,6.0,57.0,73.0,80.0,95.0
LTV,2012,50000.0,67.9805,18.139104175565933,6.0,57.0,73.0,80.0,999.0
