,count,mean,std,min,25%,50%,75%,max,year
MM_report,2981801.0,200970.5202111073,282.5014791794893,200602.0,200711.0,200906.0,201110.0,201803.0,2006
act_UPB,2981801.0,157320.8811686007,92174.78887392163,0.0,89160.22,139511.25,209000.0,802000.0,2006
load_age,2981801.0,42.69568224036413,33.72185180940963,0.0,16.0,34.0,62.0,145.0,2006
MM_remain,2981801.0,299.50634599693274,73.89235575375024,-1.0,281.0,322.0,344.0,603.0,2006
zero_code,45523.0,1.5980054038617841,2.160101981709999,1.0,1.0,1.0,1.0,15.0,2006
zero_date,45523.0,201049.8530632867,259.8433393538296,200602.0,200901.0,201007.0,201208.0,201803.0,2006
interest_rate,2981801.0,6.270801556172151,0.7564621382536173,0.0,6.125,6.375,6.625,50.0,2006
defer_UPB,2981801.0,638.0233551903422,7164.401570989835,0.0,0.0,0.0,0.0,271000.0,2006
DDLPI,5647.0,201094.02673986187,305.1191845557524,200602.0,200903.0,201007.0,201209.0,201801.0,2006
MI_recover,4201.0,9132.957153058796,21500.075613656198,0.0,0.0,0.0,0.0,139622.0,2006
Non_MI_recover,4201.0,5734.06355629612,23407.332456366497,-6945.0,293.0,1099.0,2404.0,325650.0,2006
expense,4201.0,-15669.726969769103,15694.850990098306,-123619.0,-20754.0,-11555.0,-5736.0,138608.0,2006
legal_cost,4201.0,-3394.402761247322,2583.4782264986166,-30052.0,-4635.0,-3079.0,-1854.0,0.0,2006
mainten,4201.0,-4884.73625327303,7807.728377364748,-89012.0,-6033.0,-1940.0,-91.0,0.0,2006
tax,4201.0,-6708.832420852178,9356.940686692998,-98168.0,-8316.0,-3946.0,-1546.0,121136.0,2006
mix_expense,4201.0,-681.7741014044275,2859.8263720448813,-24441.0,-842.0,-370.0,-220.0,158807.0,2006
loss,4201.0,-86827.07498214711,65108.75522486781,-487818.0,-127467.0,-76655.0,-37372.0,59354.0,2006
modify_cost,49997.0,1431.915314118843,8859.571493438678,-15195.29,0.0,0.0,0.0,206299.9,2006
ELTV,44036.0,57.78884094831495,27.706661648891796,0.0,40.1,58.4,74.7,343.4,2006
MM_report,2774656.0,201047.14960232907,264.8464515206915,200702.0,200810.0,201004.0,201206.0,201803.0,2007
act_UPB,2774656.0,160294.36136358307,96288.42108196585,0.0,89319.65,139298.91,213558.76,802000.0,2007
load_age,2774656.0,39.98631578112746,31.580706415248937,0.0,14.0,32.0,59.0,133.0,2007
MM_remain,2774656.0,308.05486734211377,69.86219079647688,-32.0,292.0,326.0,347.0,556.0,2007
zero_code,44853.0,1.7069761219985284,2.3274090431386703,1.0,1.0,1.0,1.0,15.0,2007
