seq_no,MM_report,act_UPB,load_age,MM_remain,zero_code,zero_date,interest_rate,defer_UPB,DDLPI,MI_recover,Non_MI_recover,expense,legal_cost,mainten,tax,mix_expense,loss,modify_cost,ELTV
07Q1,201023.7583919901,162259.99349042523,41.413474028814846,304.25344032220505,1.6544968833481746,201108.460730187,6.068711667145144,629.6873221686966,201113.11409395974,9423.990900818926,7274.507734303913,-15464.832575068243,-3325.6742493175616,-4863.333939945405,-6503.007279344859,-772.8671519563239,-87419.57142857143,1488.7212143999984,58.63523758265417
07Q2,201043.72917809663,159202.34024775395,41.024015564351394,308.1582854586326,1.6979775280898877,201118.45474157302,6.14342004868059,816.8884946525101,201115.68769917145,13314.777583187391,8896.843257443083,-14877.065674255691,-3339.241681260946,-4437.720665499124,-6320.399299474606,-779.715411558669,-80246.74956217162,1724.3257692615384,61.596764044943626
07Q3,201049.02877470703,153814.1409566063,38.60909380773307,312.0278666078981,1.7064447592067988,201087.66554532578,6.480613903138596,930.7972382220697,201118.45466074825,16956.89938217123,8510.38746690203,-15213.235657546336,-3307.965578111209,-4781.406884377759,-6376.1915269196825,-747.692850838482,-79964.00088261253,1861.9061368000005,64.14135719108705
07Q4,201075.39837628353,165564.49765885153,38.56814193829454,308.3672406803454,1.7690590965898947,201124.38564542047,6.1601303783537045,1011.0979086973363,201137.4914945322,17584.183574879225,14028.657004830919,-15834.512077294687,-3395.3019323671497,-4350.038647342995,-7373.925120772947,-715.279388083736,-82880.36634460547,2198.361613187166,62.25198719857062
08Q1,201081.57555447027,173861.8209219783,36.359492081211194,294.5862787506686,1.4670616323282342,201143.00689716154,5.77200449467876,702.9097060551761,201158.3315018315,13466.922060766183,12081.126816380449,-15082.441215323646,-3115.6023778071335,-4416.583883751651,-6842.445178335535,-707.8401585204756,-80358.2285336856,1262.168313465076,55.39006716712779
08Q2,201095.94544841157,168962.63592296018,35.42284502529399,299.4515043441844,1.3939959143796075,201134.09530153655,5.941347968503961,431.60912773963,201181.42276422764,14030.481054365733,11929.774299835255,-17023.995057660624,-3413.154859967051,-4898.744645799012,-8055.235584843493,-656.9176276771005,-78132.29324546953,950.8002120339256,53.57298510990284
08Q3,201105.67191884873,162074.02619058796,33.52931302668929,308.4517730653846,1.359285091543156,201097.287532694,6.304311376388385,449.7241244222455,201169.63981588033,13330.148007590133,10605.614800759013,-13984.43643263757,-3223.755218216319,-4987.127134724858,-6518.2277039848195,744.6470588235294,-69579.26565464896,1118.3864893191453,53.93030388559594
08Q4,201129.53378916878,173184.96705995584,32.9733874613964,311.4534323680197,1.1998063550743772,201135.41994542733,5.835992313764393,437.17002126550744,201259.9951060359,9912.375394321767,12186.832807570978,-15744.757097791799,-3140.8548895899053,-5085.495268138801,-7170.5015772870665,-347.9968454258675,-67982.51104100946,727.0531461033761,51.57715509854342
F109Q1087070,201211.14117647058,358985.2405882352,42.0,389.5176470588235,1.0,201601.0,4.422058823529412,0.0,,,,,,,,,,24773.01,
09Q1,201162.96541105385,185548.94094511747,34.12419824338117,293.25938323021285,1.0662805662805663,201218.194153337,4.910656351991831,11.216993885227515,201289.304,8539.517543859649,7332.043859649123,-14692.192982456141,-3447.1754385964914,-5685.745614035088,-6122.026315789473,562.6842105263158,-69222.76315789473,28.550582399999996,44.424204101830824
09Q2,201205.2151946124,179551.45828832677,36.40318437076403,283.8305211896924,1.0401288810779146,201265.98974809606,4.830469749195344,13.39890005809316,201392.25862068965,3293.576271186441,9138.627118644068,-19453.77966101695,-3657.1186440677966,-6315.9152542372885,-8461.93220338983,-1018.8813559322034,-63974.49152542373,18.408116000000003,42.96908071486969
09Q3,201227.41605696062,166689.2927369948,36.25881549587495,281.3001793238268,1.0631922468354431,201262.08840981012,5.11063107030862,15.093797676797136,201439.625,7312.777777777777,1910.0740740740741,-16315.907407407407,-3589.3703703703704,-6464.685185185185,-5129.092592592592,-1132.7962962962963,-43727.11111111111,21.642244979598367,42.84697561883478
09Q4,201252.6244846804,171390.39245872962,35.9263963511502,280.8790241208272,1.053221859706362,201275.86123572593,4.933202269303464,4.9271328276613335,201429.4672897196,5095.106060606061,10166.257575757576,-16350.257575757576,-2876.9848484848485,-4275.848484848485,-8348.924242424242,-848.439393939394,-56782.27272727273,19.01263781102488,43.9098146093085
