attribute,year,count,mean,std,min,25%,50%,75%,max
DDLPI,2006,5647.0,201094.02673986187,305.1191845557524,200602.0,200903.0,201007.0,201209.0,201801.0
DDLPI,2007,6282.0,201121.4848774276,296.6127743139545,200705.0,200906.0,201009.0,201278.75,201801.0
DDLPI,2008,3558.0,201184.9949409781,297.8527701333564,200802.0,200912.0,201105.0,201401.0,201801.0
DDLPI,2009,870.0,201384.4574712644,281.288061332406,200903.0,201110.25,201311.0,201701.75,201801.0
DDLPI,2010,686.0,201478.82069970845,247.4761389251901,201003.0,201302.0,201503.0,201710.0,201801.0
DDLPI,2011,528.0,201562.70454545453,216.55373847876388,201103.0,201401.0,201609.5,201712.0,201801.0
DDLPI,2012,356.0,201643.7724719101,165.52147701354602,201206.0,201510.0,201709.0,201801.0,201801.0
DDLPI,2013,512.0,201692.845703125,119.85851746332676,201304.0,201609.0,201711.0,201801.0,201801.0
DDLPI,2014,655.0,201700.07480916032,102.31746881942124,201402.0,201611.5,201711.0,201801.0,201801.0
DDLPI,2015,604.0,201730.67880794703,70.3773257142955,201505.0,201709.0,201711.0,201801.0,201801.0
DDLPI,2016,534.0,201748.51310861425,49.02913726180922,201607.0,201710.0,201712.0,201801.0,201801.0
DDLPI,2017,296.0,201757.51351351352,45.375269376646216,201703.0,201711.0,201801.0,201801.0,201801.0
ELTV,2006,44036.0,57.788840948314956,27.706661648891803,0.0,40.1,58.4,74.7,343.4
ELTV,2007,51640.0,61.60517428350146,26.36704896423818,0.1,45.0,62.4,77.4,223.2
ELTV,2008,47647.0,53.64647931664109,24.731886225234252,0.1,36.6,54.0,69.2,268.7
ELTV,2009,101373.0,43.48209878369988,19.511916811294178,0.0,28.9,43.3,57.7,342.9
ELTV,2010,155111.0,42.067193816041744,18.24029155760297,0.0,28.7,41.8,55.4,149.9
ELTV,2011,201851.0,41.46922036551644,17.760839723670895,0.0,28.6,41.2,54.1,340.8
ELTV,2012,349644.0,43.20794922835765,16.797032485628385,0.1,31.4,43.4,55.3,578.3
ELTV,2013,357792.0,48.68227685358973,17.10654239874017,0.0,37.1,49.5,61.0,421.4
ELTV,2014,335060.0,56.99914821226262,16.847151694441607,0.0,47.1,59.0,68.8,402.1
ELTV,2015,433830.0,60.222820920637176,16.43202803353639,0.0,50.7,62.5,71.5,459.6
ELTV,2016,498808.0,64.67393546214312,16.48569284595473,0.1,55.4,67.5,75.7,290.2
ELTV,2017,294470.0,70.20994974021174,17.108335804019884,0.0,61.7,73.7,80.9,377.5
